New_clientroomId	New_name
8C80DFE3-0DE0-E111-8081-00215ABCD1C5	Fox Rothschild - Blue Bell - Boardroom
1A331272-5BE1-E111-8081-00215ABCD1C5	Fox Rothschild - Exton - Conference Room
AAA6EFD3-A8E8-E111-8081-00215ABCD1C5	NRC - Incident Response Center
9DB9588C-0400-E111-81FA-00215ABCD1C5	Cenero Boathouse Row
BF8C23DD-D552-DF11-84BC-00215ABCD1C5	CPC-Aud
3F754400-E852-DF11-84BC-00215ABCD1C5	WW-
7D2D304F-E852-DF11-84BC-00215ABCD1C5	SHDH-2034
D57E9B57-E852-DF11-84BC-00215ABCD1C5	SHDH-2039
6BCD4460-E852-DF11-84BC-00215ABCD1C5	VH-B6
F7329482-E852-DF11-84BC-00215ABCD1C5	WW-Surplus
F8329482-E852-DF11-84BC-00215ABCD1C5	SCC-Hattersly Room
E29FC38D-E852-DF11-84BC-00215ABCD1C5	SCC-First Floor Amphitheater
E39FC38D-E852-DF11-84BC-00215ABCD1C5	SCC-238
22D01699-E852-DF11-84BC-00215ABCD1C5	SCC-242
23D01699-E852-DF11-84BC-00215ABCD1C5	Wharton Executive Education - SCC - Bell Atlantic
69C166AD-E852-DF11-84BC-00215ABCD1C5	SCC-Parkinson
0AB4E7E5-E852-DF11-84BC-00215ABCD1C5	VH-334
2A0256F0-E852-DF11-84BC-00215ABCD1C5	VH-109
C6AF7491-E952-DF11-84BC-00215ABCD1C5	VH-105
E0B59F72-F252-DF11-84BC-00215ABCD1C5	SHDH-1030
5D992588-F252-DF11-84BC-00215ABCD1C5	WW-Server Rm
232460AC-F252-DF11-84BC-00215ABCD1C5	JMHH-GXX
BC94C7B3-F252-DF11-84BC-00215ABCD1C5	JMHH-8XX
D8C0A7C4-F252-DF11-84BC-00215ABCD1C5	JMHH-MBA
6F2048CF-F252-DF11-84BC-00215ABCD1C5	JMHH-F35
E2D03803-F352-DF11-84BC-00215ABCD1C5	VH-104
A8001125-F352-DF11-84BC-00215ABCD1C5	VH-102
A0AA77A0-F352-DF11-84BC-00215ABCD1C5	SCC-Yasuda
949930CD-F352-DF11-84BC-00215ABCD1C5	SCC - 1st Floor Flat
7C0C458B-F852-DF11-84BC-00215ABCD1C5	Mobile
8C7A1CC0-6623-E211-855B-00215ABCD1C5	Fox Rothschild - LA - Multipurpose Room 418
2E5E00B4-7769-E211-85E7-00215ABCD1C5	Braskem - Freeport TX - VTC Room
F3BAB7A9-D86A-E211-85E7-00215ABCD1C5	International Capital & Management Company (ICMC) - USVI - Adams Training Room North
7B082FDA-D86A-E211-85E7-00215ABCD1C5	International Capital & Management Company (ICMC) - USVI - Adams Training Room South
A547DE2C-FA6A-E211-85E7-00215ABCD1C5	Sallie Mae - Utah - Multipurpose Room 602
83C9F3AB-5574-E211-85E7-00215ABCD1C5	VH-B10
49B5BA63-C881-E211-85E7-00215ABCD1C5	Wakefern - NJ - Brookdale ShopRite 215
AB7BCF82-0697-E211-85E7-00215ABCD1C5	Cenero - Malvern - Rocky Room
B8D9C234-A7B1-E211-85E7-00215ABCD1C5	ARI Fleet Management - Chippenham - Boardroom
AEBC3A3A-8ABC-E211-85E7-00215ABCD1C5	Braskem - Seadrift, TX - VTC Room 123
15843192-8ABC-E211-85E7-00215ABCD1C5	PECO - Small VTC
BE48A6D5-8ABC-E211-85E7-00215ABCD1C5	PECO - Phialdelphia - Boardroom
D253245B-8FBC-E211-85E7-00215ABCD1C5	Fox Rothschild - Phila - 20G
7B8422A8-8FBC-E211-85E7-00215ABCD1C5	Fox Rothschild - Phila - 18A
2C16B3D3-96BC-E211-85E7-00215ABCD1C5	Fox Rothschild - Princeton  Conf Room 3I
869D3D26-1DC2-E211-85E7-00215ABCD1C5	Elementis - East Windsor, NJ - Churchill Boardroom
64FF544C-1DC2-E211-85E7-00215ABCD1C5	Elementis - East Windsor, NJ - Franklin Room
76671B8A-1DC2-E211-85E7-00215ABCD1C5	Elementis - East Windsor, NJ - Adams Room
1E0D4FA3-1DC2-E211-85E7-00215ABCD1C5	Elementis - East Windsor, NJ - Kennedy Room
096388C3-1DC2-E211-85E7-00215ABCD1C5	Elementis - East Windsor, NJ - Roosevelt Room
B8058FD9-1DC2-E211-85E7-00215ABCD1C5	Elementis - East Windsor, NJ - Einstein Room
E77A64EE-1DC2-E211-85E7-00215ABCD1C5	Elementis - East Windsor, NJ - Reagan Room
AE3E8301-1EC2-E211-85E7-00215ABCD1C5	Elementis - East Windsor, NJ - Washington Room
2E9F2918-1EC2-E211-85E7-00215ABCD1C5	Elementis - East Windsor, NJ - Town Hall Area
2139AF30-1EC2-E211-85E7-00215ABCD1C5	Elementis - East Windsor, NJ - Reception
56744385-4411-E211-8E3C-00215ABCD1C5	Hangley Aronchick - Philadelphia - Conference Room
4643333E-5311-E211-8E3C-00215ABCD1C5	Braskem - Frankfurt - VTC Room
4E041895-C712-E211-8E3C-00215ABCD1C5	NCO - Horsham Boardroom
9AD16322-2043-E211-8F84-00215ABCD1C5	NCO - Panama City Team Room
CE1A4D0B-6B48-E211-8F84-00215ABCD1C5	Braskem - Wesseling, DE - VTC Room
0B54FF21-6B48-E211-8F84-00215ABCD1C5	Braskem - Schkopau, DE - VTC Room
686F8DDD-0DCD-E211-9320-00215ABCD1C5	NJEA - Trenton - Conference Room 216
4E814A00-0ECD-E211-9320-00215ABCD1C5	NJEA - Trenton -  Brownstone Conference Room
